SKU,DataCadastroSistema,Categoria,DescricaoProduto,MarcaAparelho,Origem,PrecoVenda
241,2011-02-18,Manutenção Sim Tray,Simtray 3G/s Branco,Android,Estrangeira - Importação direta,50
242,2011-02-18,Manutenção Sim Tray,Simtray 3G/s Preto,Android,Estrangeira - Importação direta,50
253,2011-02-18,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 3G 8GB - Preto,Apple,Estrangeira - Importação direta,100
255,2011-02-18,Manutenção LCD/ Touch,LCD 3G,Android,Estrangeira - Importação direta,100
256,2011-02-18,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 3Gs 32GB - Preto,Apple,Estrangeira - Importação direta,100
257,2011-02-18,Manutenção LCD/ Touch,LCD 3GS,Android,Estrangeira - Importação direta,100
258,2011-02-18,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 3Gs 16GB - Preto,Apple,Estrangeira - Importação direta,100
259,2011-02-18,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 3G 16GB - Preto,Apple,Estrangeira - Importação direta,100
261,2011-02-18,Manutenção LCD/ Touch,Vidro c/ Touchscreen 3GS,Android,Estrangeira - Importação direta,100
262,2011-02-18,Manutenção Sim Tray,Ejetor do Simtray - 3G/3GS,Android,Estrangeira - Importação direta,100
267,2011-02-18,Manutenção Botão,Botão Vibra Branco - 3G/3GS,Android,Estrangeira - Importação direta,100
268,2011-02-18,Manutenção Botão,Botão Vibra Preto -3G/3GS,Android,Estrangeira - Importação direta,100
273,2011-02-18,Manutenção Conector,Kit Conector / Speaker - 3GS,Android,Estrangeira - Importação direta,100
281,2011-02-18,Manutenção Vibra / Volume / Power,"Cabo flex (power, vibra e volume) 3G/s",Android,Estrangeira - Importação direta,100
284,2011-02-18,Manutenção Speaker,Tela de Proteção Speaker e Microfone,Android,Estrangeira - Importação direta,50
289,2011-02-18,Manutenção Conector,Conector Speaker iPhone 3G,Apple,Estrangeira - Importação direta,70
294,2011-02-18,Manutenção Botão,Tecla do home 3G/3GS,Android,Estrangeira - Importação direta,50
298,2011-02-18,Manutenção Flex do Home,Flex do home 3G/3GS,Android,Estrangeira - Importação direta,100
301,2011-02-18,Manutenção Conector,Conector de Carga iPhone 4 - Branco,Apple,Estrangeira - Importação direta,400
311,2011-02-18,Manutenção LCD/ Touch,Vidro Touchscreen iPhone 3G,Apple,Estrangeira - Importação direta,100
313,2011-02-18,Manutenção Flex do Fone,Flex Volume/P2 - iPhone 4,Apple,Estrangeira - Importação direta,80
322,2011-02-18,Manutenção Flex do Home,Flex Home - iPhone 4,Apple,Estrangeira - Importação direta,50
323,2011-02-18,Manutenção Sim Tray,Simtray iPhone 4,Apple,Estrangeira - Importação direta,50
324,2011-02-18,Manutenção Flex do Sensor,Sensor de Proximidade - 3G/3GS,Android,Estrangeira - Importação direta,100
328,2011-02-18,Manutenção Speaker,Speaker - iPhone 4,Apple,Estrangeira - Importação direta,80
338,2011-02-18,Manutenção LCD/ Touch,Vidro c/ Touchscreen e LCD iPhone 4 - Preto,Apple,Estrangeira - Importação direta,150
341,2011-02-18,Manutenção Bateria,Bateria de iPhone 4,Apple,Estrangeira - Importação direta,50
349,2011-02-18,Manutenção Vibra / Volume / Power,Motor do Vibra iPhone 3G/s,Apple,Estrangeira - Importação direta,0
397,2011-02-18,Manutenção Vibra / Volume / Power,Flex Power e Sensor de Proximidade - iPhone 4,Apple,Estrangeira - Importação direta,80
398,2011-02-18,Manutenção Carcaça/Vidro Traseiro,Tampa Traseiro iPhone 4 - Preto,Apple,Estrangeira - Importação direta,50
410,2011-02-18,Manutenção Câmera,Câmera iPhone 3G,Apple,Estrangeira - Importação direta,50
411,2011-02-18,Manutenção Câmera,Câmera - 3GS,Android,Estrangeira - Importação direta,50
421,2011-02-18,Manutenção Alto Falante,Alto-Falante iPhone 4,Apple,Estrangeira - Importação direta,50
522,2011-02-18,Manutenção LCD/ Touch,LCD iPad 1,Apple,Estrangeira - Importação direta,0
